konten,sentimen
Kualitas udara di Jakarta tetap tak sehat meski jalan raya kosong kendaraan.,netral
Kualitas udara Jakarta dinyatakan tak sehat pagi ini versi IQ Air. Polusi udara Jakarta menempati posisi teratas bersama dengan Kinshasa pada pukul 10.08 WIB.,netral
BMKG mengungkap penyebab kualitas udara di Jakarta buruk kemarin.,negatif
Kualitas udara DKI Jakarta dan Tangerang Selatan bukan lagi merah  tetapi berada di zona 'ungu' alias sangat tidak sehat pagi ini. Ada apa? Ini datanya.,negatif
"Selain karena polusi, kualitas udara yang buruk juga disebabkan oleh pemanasan global. Bagaimana pengembang merespons kondisi tersebut?",negatif
Banyak orang yang belum tahu bahwa kualitas udara yang buruk bisa mempengaruhi tidak hanya kesehatan.,negatif
Anies Baswedan mengingatkan pentingnya kolaborasi antarwilayah untuk mengatasi masalah polusi udara di Jakarta.,negatif
"Polutan utama udara di Jakarta ialah PM 2,5. Berdasarkan situs BMKG, PM 2,5 adalah partikel udara yang berukuran lebih kecil dari 2,5 mikron (mikrometer).",netral
"Sudah empat tahun upaya hukum dilakukan, tetapi pemerintah justru lalai dan enggan menjalankan putusan yang sudah ditetapkan pengadilan.",netral
"Pj Gubernur DKI Jakarta Heru Budi Hartono menanggapi soal polusi udara di Jakarta tinggi. Kata dia, di Jakarta ada water mist hingga pembatasan kendaraan.",netral
Pj Gubernur DKI Jakarta Heru Budi Hartono memberikan tanggapan soal polusi udara di Jakarta tinggi. Heru mengungkap sejumlah langkah untuk mengatasinya.,netral
Pelaku industri di negeri ini sering teledor dan lepas tanggung jawab ketika harus memenuhi aturan terkait pemasangan alat Scrubber.,netral
Presiden Jokowi berbicara terkait kualitas udara di beberapa kota. Ia yakin kualitas udara di IKN nantinya akan lebih baik dan berada di rentang 0-20.,positif
"Dinas Lingkungan Hidup (LH) DKI Jakarta mengungkapkan kualitas udara di Jagakarsa, Jakarta Selatan, di kategori tidak sehat pukul 07.00 WIB hari ini.",negatif
"Indeks Kualitas Lingkungan Hidup (IKLH) dan Indeks Kualitas Udara (IKU) Lamongan berada di angka 84.05. Itu artinya, kualitas udara di Kota Soto baik.",positif
Udara di Jakarta pada Jumat pagi ini masuk dalam kategori tidak sehat. Cuaca pagi ini berkabut.,negatif
Kendaraan yang boleh beredar di IKN hanya kendaraan listrik.,netral
DLH DKI mengatakan KLHK akan mengeluarkan standardisasi alat pengukur kualitas udara. KLHK diharapkan segera menerbitkannya.,netral
Hujan lebat mengguyur Kota Jambi pada Kamis (21/9). Alhasil kualitas udara membaik dan lahan gambut yang berpotensi kebakaran pun basah.,positif
Udara yang segar dan berkualitas membuat rumah terasa nyaman dan sehat. Simak 12 cara meningkatkan kualitas udara di rumah berikut ini.,netral
Dinas Pendidikan (Disdik) Kota Palembang mengeluarkan aturan pembelajaran baru terkait kabut asap. Sekolah diperbolehkan belajar mengajar secara daring.,netral
"Menteri Lingkungan Hidup dan Kehutanan Siti Nurbaya menyoroti alat ukur kualitas udara yang hanya menggunakan PM 2,5.",netral
Langit di Jakarta terlihat cerah hingga tampak biru pada siang ini. Jarak pandang di udara pun terlihat luas. Bagaimana kualitas udaranya?,netral
Situs IQ Air menempatkan Jakarta sebagai kota dengan tingkat polusi udara tertinggi di dunia pagi ini. IQ Air menyatakan kualitas udara di Jakarta tidak sehat.,negatif
"Kualitas udara di Kota Padang, Sumatera Barat, dilaporkan turun. Masyarakat diimbau untuk menggunakan masker.",netral
"BMKG Sumsel mencatat kualitas udara di Palembang memburuk karena tidak adanya curah hujan di musim kemarau, ditambah munculnya sejumlah titik api atau hotspot.",negatif
Presiden Jokowi menyampaikan semua pihak harus konsisten menerapkan kebijakan yang mengurangi kendaraan berbasis fosil dan beralih ke transportasi massal,netral
Kualitas udara di Banyuwangi ternyata masih terkategori sangat baik setelah dilakukan uji kualitas oleh Dinas Lingkungan Hidup setempat.,positif
"Kualitas udara DKI Jakarta sore hingga malam kemarin, lagi agak mendingan. Bukan cuma di DKI, tetapi di Tangsel hingga Depok. Ini datanya.",netral
"Pagi ini, Jokowi membandingkan kualitas udara di IKN dengan beberapa kota besar dunia. Jokowi yakin, kualiatas udara di IKN lebih bagus dibanding daerah lain.",positif
"Pagi ini, Jokowi membandingkan kualitas udara di IKN dengan beberapa kota besar dunia. Jokowi yakin, kualiatas udara di IKN lebih bagus dibanding daerah lain.",positif
Menkes mengakui pemerintah Indonesia belum mengikuti standar kualitas udara WHO untuk penilaian polusi. Ada beragam aspek yang menjadi pertimbangan.,netral
"Kemenperin mempertanyakan data cemaran polusi Jabodetabek meski sepi kendaraan, di waktu weekend. Pertanda polusi tak cuma dipicu kendaraan?",netral
"Jokowi menyebut indeks kualitas udara di IKN di bawah 30. Menurutnya, jauh lebih rendah dibandingkan dari Jakarta hingga Singapura.",netral
Presiden Joko Widodo berbicara terkait kualitas udara di beberapa kota. Ia yakin kualitas udara di IKN nantinya akan lebih baik dan berada di rentang 0-20.,positif
Kualitas udara Jakarta di malam hari lebih buruk dan tidak sehat dibanding kondisi di siang hari. BMKG mengungkap penyebab kondisi tersebut.,negatif
"Menurut Kepala Pusat Informasi Perubahan Iklim BMKG, kualitas udara Jakarta di malam hari jauh lebih buruk dan tidak sehat. Berikut penjelasan selengkapnya.",negatif
Kualitas udara di Ibu Kota kian parah. Anggota DPRD DKI Jakarta Fraksi PDIP Gilbert Simanjuntak meminta penjualan kendaraan juga menjadi perhatian.,netral
Kualitas udara Kota Bandung berdasarkan catatan IQ Air pagi ini berada di zona oranye. Zona ini termasuk kategori tidak sehat bagi kelompok sensitif.,negatif
Tercatat baru ada 13 SPKU yang terbangun hingga 2023. Kemudian SPKU di Jakarta baru ditambah kembali pada 2023 sebanyak sembilan unit.,netral
Anggota Komisi D DPRD DKI Jakarta dari Fraksi PDI Perjuangan Yuke Yurike meminta Pemprov DKI memperbanyak kawasan rendah emisi atau low emission zone (LEZ).,netral
Kualitas udara Kota Bandung berdasarkan catatan IQ Air pada Jumat (18/8/2023) hingga pukul 08.00 WIB berada di zona oranye (tidak sehat bagi kelompok sensitif).,negatif
"Kualitas udara di Chicago, Amerika Serikat menjadi yang terburuk di dunia versi IQAir per 27 Juni 2023. Polusi terjadi akibat kebakaran hutan di Kanada.",negatif
Apa itu Stasiun Pemantau Kualitas Udara (SPKU) yang berhubungan dengan Indeks Standar Pencemar Udara (ISPU)? Ini fungsi dan cara kerjanya.,netral
Riset detikEDU menunjukkan bahwa kebijakan PSBB bisa memperbaiki kualitas udara Jakarta. Seberapa besar?,positif
"Ilmuwan Oxford menemukan kualitas udara yang buruk dapat memicu gangguan mental berupa depresi, kecemasan, hingga demensia. Seperti apa korelasinya?",negatif
Kolaborasi ini bisa memberikan manfaat bagi masyarakat dan tentunya menjadi pendukung dalam membuat kebijakan.,netral
Pemerintah membuat hujan buatan di wilayah Jabodetabek pada Minggu (27/8/23). Modifikasi cuaca tersebut mampu membuat kualitas udara di Bogor semakin baik.,positif
Kepala Dinas Lingkungan Hidup (DLH) DKI Jakarta Asep Purwanto memaparkan hasil pemantauan kualitas udara yang dilakukan sepanjang tahun 2023.,netral
Pemprov DKI Jakarta mengimbau warga Jakarta untuk menggunakan masker saat beraktivitas. Hal itu karena polusi udara di Jakarta mengkhawatirkan.,netral
M Idris menyebut kualitas udara di Kota Depok masih relatif aman dari polusi. Dia menyinggung penambahan penduduk yang relatif tinggi dibandingkan Kota Jakarta.,netral
Presiden Joko Widodo mengungkapkan tiga penyebab kualitas udara di Jabodetabek sangat buruk bahkan tidak sehat. Cek informasi lengkapnya di sini.,negatif
"Kualitas udara di tiga kabupaten kota di Kepri hari ini dalam kondisi tidak sehat akibat kiriman asap. Ketiga daerah itu yakni Batam, Tanjungpinang dan Anambas.",negatif
"Presiden Joko Widodo mengungkap penyebab kualitas udara di Jabodetabek sangat buruk. Bahkan, kata Jokowi, kualitas udara di DKI Jakarta dinyatakan tidak sehat.",negatif
Langit Jakarta siang tadi tampak cerah berwarna biru disertai degan gugusan awan. BMKG pun menjelaskan kualitas udara di Jakarta hari ini.,netral
"Dinas Perumahan, Pemukiman, Lingkungan Hidup dan Perhubungan Kabupaten Solok Selatan, menyatakan kualitas udara di daerah tidak sehat akibat kabut asap.",negatif
Kualitas udara di Kota Jambi masuk dalam kategori tidak sehat. Kondisi itu dampak kabut asap kebakaran hutan dan lahan (karhutla) mulai menyelimuti Kota Jambi.,negatif
Buruknya kualitas udara membuat masyarakat dibayangi efek negatif polusi. Bisakah air purifier mengusir polusi di rumah?,negatif
"Menteri Lingkungan Hidup dan Kehutanan (LHK) menyebut teknologi modifikasi cuaca (TMC) yang dilakukan di Jabodetabek, membuahkan hasil positif di Bogor.",netral
Sebuah studi ungkap buruknya kualitas udara dapat mempengaruhi gangguan perkembangan kognitif pada bayi,negatif
Kualitas udara di Jakarta dan Tangerang Selatan (Tangsel) dilaporkan dalam kondisi tak sehat pada siang ini meski sedang memasuki long weekend.,netral
"Hampir semua negara di dunia tidak memenuhi standar kualitas udara WHO, kecuali 7 negara ini.",netral
"Dirjen PPK Kementerian Lingkungan Hidup, Sigit Reliantoro membeberkan beberapa faktor yang melatarbelakangi siklus kualitas udara di Jakarta kurang baik.",positif
"Asep menjelaskan pada akhir Mei hingga awal Juni, DKI Jakarta mengalami penurunan kualitas udara dan berada dalam kategori 'sedang' hingga 'tidak sehat'.",negatif
"Jika diperhatikan, belakangan langit Jakarta dan sekitarnya tampak seperti berkabut. Sayangnya, yang terlihat oleh mata kita bukanlah kabut melainkan polusi.",netral
"Batam memang agak sedikit orange, tapi Singapura hijau banget. Itu aneh, berdekatan,kata Suharso.",netral
Data dari Indeks kualitas udara (AQI) dan polusi udara PM2.5 di beberapa kota di Indonesia mencapai tingkat yang sangat buruk dalam beberapa waktu belakangan.,negatif
"Kualitas udara di DKI Jakarta pada Jumat (03/11) terpantau tak sehat. Pada pukul 06:00 WIB, tercatat indeks kualitas udara ada di angka 159.",netral
"Kualitas udara buruk disebut-sebut terasa hingga ke dalam ruangan rapat di gedung MPR/DPR/DPD RI, Senayan, Jakarta, yang ber-AC.",negatif
Kadis Lingkungan Hidup DKI Jakarta Asep Kuswanto menyebut musim kemarau jadi salah satu faktor yang mempengaruhi kualitas udara di Jakarta menjadi kurang baik.,positif
Kadis LH DKI mengatakan buruknya kualitas udara di Jakarta saat ini dipengaruhi musim kemarau yang sedang tinggi-tingginya. Itu sebabnya udara jadi kurang baik.,positif
Sigit menyebut setiap manajemen kantor bisa menentukan kebijakan WFH dengan memanfaatkan informasi kualitas udara yang tersedia di sejumlah website.,netral
"Kualitas udara di Tangsel pada siang ini masuk kategori 'tidak sehat' dan menjadi kota paling berpolusi di Indonesia. Sementara itu, Jakarta di posisi kelima.",negatif
"Kualitas udara yang kotor akan polusi dapat mengganggu kesehatan. Tubuh yang sistem imunnya lemah, akan mudah sakit jika terlalu sering menghirup udara kotor.",netral
"Buruknya kualitas udara di DKI Jakarta terus mendapatkan sorotan. Terbaru, penyanyi Raisa juga bersuara memprotes buruknya kualitas udara di ibu kota.",negatif
"Pagi ini, kualitas udara DKI Jakarta, Tangerang Selatan, hingga Denpasar masuk zona merah. Konsentrasi PM 2.5 bahkan nyaris 30 kali lipat melampaui batas WHO.",netral
"KLHK menyampaikan perkembangan terbaru kondisi Karhutla di Jabi dan Kalsel yang membaik. Namun, di Sumsel dan Kalteng menjadi daerah rawan Karhutla.",positif
Situs IQAir menyatakan kualitas udara di Jakarta siang ini tidak sehat. Warga disarankan menggunakan masker saat berada di luar ruangan.,negatif
Dua wilayah di Bali yakni Kabupaten Gianyar dan Kota Denpasar masuk dalam tabel informasi kualitas udara terburuk dan hijau di situs IQAir.com.,negatif
Kualitas udara Jakarta dinilai buruk. Keputusan politik pemerintah pusat harus tepat.,negatif
Hujan lebat kembali mengguyur wilayah Kota Jambi pagi tadi. Hujan yang mengurangi dampak kabut asap yang terjadi akibat kebakaran hutan dan lahan (karhutla).,netral
IQAir menjelaskan bahwa kualitas udara memiliki pengaruh pada kualitas belajar siswa. Seperti apa? simak penjelasannya.,netral
Ini sederet dampak buruk yang bisa terjadi akibat kualitas udara yang buruk.,negatif
"Kualitas udara di Singapura memasuki kategori tidak sehat, ketika otoritas mengingatkan soal kondisi berkabut akibat peningkatan jumlah hotspot di Indonesia.",negatif
"Kualitas udara di Jakarta pada Minggu (1/10) pagi, masuk dalam kategori tak sehat. Menurut IQAir, tercatat kualitas udara di Jakarta berada dalam angka 180",netral
Kualitas udara di Pekanbaru mulai tak sehat hari ini. Kondisi ini diakibatkan asap kiriman karhutla dari daerah lain.,netral
"Level partikulat atmosfer berukuran lebih kecil dari 2,5 mikron di sejumlah wilayah di Semenanjung Malaysia pada Minggu petang masuk kategori tidak sehat.",negatif
"BPBD Kabupaten Kotawaringin Timur (Kotim), Kalimantan Tengah Multazam mengimbau masyarakat di Kota Sampit menggunakan masker saat beraktivitas di luar rumah.",netral
Kualitas udara Jakarta hari ini 6 Juni 2023 memasuki indeks yang cukup buruk. Ini poinnya.,negatif
Kualitas udara di Kota Jambi pagi ini kembali masuk kategori tidak sehat. Kondisi ini dampak dari kabut asap tipis dari kebakaran hutan dan lahan (karhutla).,negatif
Situs pemantauan kualitas udara IQAir mencatat kualitas udara Jakarta hari ini dalam kategori sedang. Langit Jakarta pun terlihat biru cerah.,netral
"Warga mulai mengeluhkan kualitas udara yang masuk kategori tidak sehat dampak kabut asap. Penyebabnya, kebakaran hutan dan lahan masif di musim kemarau.",negatif
Menteri LHK Siti Nurbaya memberikan tanggapan soal candaan Menteri Keuangan (Menkeu) Sri Mulyani yang menyebut sudah 'hijau'.,netral
"Langit DKI dan sekitarnya pada hari ini, Jumat (15/9) lagi-lagi diselimuti polusi. Birunya langit berhias awan putih sudah tidak muncul lagi. Ya gitu dehâ€¦",netral
"Kualitas udara di DKI, Kamis (14/9) terpantau kembali membaik, masuk kategori sedang. Berbeda dari hari sebelumnya yang terpantau keruh imbas polusi.",positif
"Pagi ini, langit di sekitar Jakarta terlihat lebih cerah dibandingkan beberapa hari sebelumnya. Lantas bagaimana kualitas udaranya?",netral
"BNI terus mendukung upaya pemerintah dalam mewujudkan Net Zero Emission (NZE), terutama melalui kegiatan penanaman pohon.",positif
Dampak kualitas udara tak sehat di Jakarta untuk Ririn Ekawati. Seperti apa?,netral
Polisi di Surabaya tak menerapkan tilang emisi dalam operasi Zebra Semeru 2023. Sebab kualitas udara di Kota Pahlawan masih dianggap baik.,positif
"Indeks kualitas udara diperlukan untuk mengetahui keadaan udara di suatu wilayah karena berkaitan dengan lingkungan hidup. Lalu, apa itu indeks kualitas udara?",netral
